"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.270291768E0,-2.440000027E-1,3.770000041E-1,9.200000018E-2
1.275279246E0,-3.170000017E-1,2.000000030E-1,2.119999975E-1
1.280266937E0,-3.510000110E-1,1.140000001E-1,-2.700000070E-2
1.285254629E0,-6.470000148E-1,-2.000000095E-3,-4.140000045E-1
1.290242316E0,-3.070000112E-1,-1.120000035E-1,-5.070000291E-1
1.295230009E0,1.500000060E-1,-9.000000358E-2,-8.399999887E-2
1.300217701E0,9.099999815E-2,-1.999999955E-2,1.829999983E-1
1.305205412E0,-1.669999957E-1,2.000000095E-3,5.200000107E-2
1.310193030E0,-3.389999866E-1,-7.000000216E-3,-2.829999924E-1
1.315180720E0,-1.036999941E0,1.369999945E-1,-6.710000038E-1
1.320168412E0,-8.970000148E-1,-9.600000083E-2,-7.699999809E-1
1.325156105E0,-8.320000172E-1,-4.480000138E-1,-9.840000272E-1
1.330143797E0,-8.840000033E-1,-8.009999990E-1,-1.238999963E0
1.335131504E0,-8.529999852E-1,-1.047000051E0,-1.373999953E0
1.340119197E0,-1.006000042E0,-1.023000002E0,-1.271999955E0
1.345106890E0,-6.090000272E-1,-8.849999905E-1,-8.619999886E-1
1.350094582E0,-2.500000000E-1,-6.140000224E-1,-4.499999881E-1
1.355082044E0,7.900000364E-2,-2.689999938E-1,-8.799999952E-2
1.360069734E0,3.030000031E-1,6.499999762E-2,3.269999921E-1
1.365057442E0,2.189999968E-1,3.109999895E-1,5.970000029E-1
1.370045134E0,4.999999888E-3,4.420000017E-1,6.800000072E-1
1.375032826E0,-1.799999923E-2,4.720000029E-1,7.110000253E-1
1.380020552E0,8.600000292E-2,3.849999905E-1,6.589999795E-1
1.385008245E0,0.000000000E0,2.989999950E-1,6.029999852E-1
1.389995862E0,-1.180000007E-1,2.080000043E-1,4.979999959E-1
1.394983568E0,-2.129999995E-1,2.090000063E-1,3.959999979E-1
1.399971260E0,-1.609999985E-1,2.840000093E-1,3.379999995E-1
1.404958956E0,-2.899999917E-2,4.180000126E-1,3.120000064E-1
1.409946648E0,4.999999888E-3,5.360000134E-1,2.169999927E-1
1.414934341E0,2.899999917E-2,6.389999986E-1,-4.199999943E-2
1.419922067E0,-3.200000152E-2,7.599999905E-1,-2.090000063E-1
1.424909531E0,-1.209999993E-1,8.439999819E-1,-2.879999876E-1
1.429897221E0,-1.809999943E-1,9.330000281E-1,-1.459999979E-1
1.434884942E0,-1.309999973E-1,9.729999900E-1,4.899999872E-2
1.439872635E0,3.599999845E-2,9.520000219E-1,2.689999938E-1
1.444860327E0,2.489999980E-1,9.150000215E-1,5.440000296E-1
1.449848009E0,3.899999857E-1,7.379999757E-1,6.349999905E-1
1.454835702E0,3.289999962E-1,5.210000277E-1,6.990000010E-1
1.459823394E0,2.579999864E-1,3.899999857E-1,7.739999890E-1
1.464811016E0,6.800000370E-2,1.640000045E-1,6.250000000E-1
